Province,Cases,Year,Code_GADM,Name_GADM
MANİSA,1,2007,TUR.56_1,Manisa
MARDİN,0,2007,TUR.57_1,Mardin
MERSİN,0,2007,TUR.58_1,Mersin
MUŞ,1,2007,TUR.60_1,Mus
MUĞLA,1,2007,TUR.59_1,Mugla
NİĞDE,0,2007,TUR.62_1,Nigde
NEVŞEHİR,0,2007,TUR.61_1,Nevsehir
ORDU,4,2007,TUR.63_1,Ordu
OSMANİYE,0,2007,TUR.64_1,Osmaniye
RİZE,0,2007,TUR.65_1,Rize
SİİRT,0,2007,TUR.69_1,Siirt
SİNOP,1,2007,TUR.70_1,Sinop
SİVAS,55,2007,TUR.72_1,Sivas
SAKARYA,1,2007,TUR.66_1,Sakarya
SAMSUN,6,2007,TUR.67_1,Samsun
TEKİRDAĞ,0,2007,TUR.73_1,Tekirdag
TOKAT,139,2007,TUR.74_1,Tokat
TRABZON,1,2007,TUR.75_1,Trabzon
TUNCELİ,0,2007,TUR.76_1,Tunceli
UŞAK,0,2007,TUR.77_1,Usak
VAN,9,2007,TUR.78_1,Van
YALOVA,0,2007,TUR.79_1,Yalova
YOZGAT,76,2007,TUR.80_1,Yozgat
ZONGULDAK,0,2007,TUR.81_1,Zinguldak
İSTANBUL,12,2008,TUR.40_1,Istanbul
İZMİR,5,2008,TUR.41_1,Izmir
ÇANAKKALE,3,2008,TUR.22_1,�anakkale
ÇANKIRI,55,2008,TUR.23_1,�ankiri
ÇORUM,126,2008,TUR.24_1,�orum
AĞRI,0,2008,TUR.4_1,Agri
ADANA,7,2008,TUR.1_1,Adana
ADIYAMAN,3,2008,TUR.2_1,Adiyaman
AFYONKARAHİSAR,4,2008,TUR.3_1,Afyon
AKSARAY,0,2008,TUR.5_1,Aksaray
AMASYA,50,2008,TUR.6_1,Amasya
ANKARA,55,2008,TUR.7_1,Ankara
ANTALYA,7,2008,TUR.8_1,Antalya
ARDAHAN,1,2008,TUR.9_1,Ardahan
ARTVİN,19,2008,TUR.10_1,Artvin
AYDIN,11,2008,TUR.11_1,Aydin
ŞANLIURFA,0,2008,TUR.68_1,Sanliurfa
ŞIRNAK,0,2008,TUR.71_1,Sirnak
BİLECİK,1,2008,TUR.16_1,Bilecik
BİNGÖL,4,2008,TUR.17_1,Bing�l
BİTLİS,0,2008,TUR.18_1,Bitlis
BALIKESİR,13,2008,TUR.12_1,Balikesir
BARTIN,0,2008,TUR.13_1,Bartin
BATMAN,0,2008,TUR.14_1,Batman
BAYBURT,3,2008,TUR.15_1,Bayburt
BOLU,24,2008,TUR.19_1,Bolu
