"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","NumCases","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,5.69560299828799,7.40475015059556,6,"Ondo state","Akoko South West",2,"NG029004","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,5.69560299828799,7.40475015059556,15,"Ondo state","Akoko South West",2,"NG029004","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,5.31551891684184,7.26180436926887,1,"Ondo state","Akure North",2,"NG029005","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,5.31551891684184,7.26180436926887,6,"Ondo state","Akure North",2,"NG029005","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,5.31551891684184,7.26180436926887,18,"Ondo state","Akure North",2,"NG029005","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,5.193435251417,7.21667985123482,4,"Ondo state","Akure South",2,"NG029006","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2017,5.193435251417,7.21667985123482,6,"Ondo state","Akure South",2,"NG029006","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2018,5.193435251417,7.21667985123482,9,"Ondo state","Akure South",2,"NG029006","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,5.193435251417,7.21667985123482,14,"Ondo state","Akure South",2,"NG029006","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2016,8.34164119817897,9.0301735292068,1,"Nasarawa state","Akwanga",2,"NG026001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2012,3.25877349639368,6.57428654212258,1,"Lagos state","Alimosho",2,"NG025003","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2015,10.4831481903569,9.88788009841416,1,"Bauchi state","Alkaleri",2,"NG005001","Redding2021_shapefile","Redding2021"
"Lassa fever","Lassa arenavirus","polygon","Nigeria",2019,10.4831481903569,9.88788009841416,1,"Bauchi state","Alkaleri",2,"NG005001","Redding2021_shapefile","Redding2021"
