"Disease","Pathogen","DataType","Country","Year","Longitude","Latitude","LocationName","Admin_name","IfPolygon_AdminLevel","ADMcode","ADMSource","Source"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.8832,3.22667,"site 9, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.89017,3.20883,"site 10, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.79046,3.05945,"site 11, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.70132,3.57278,"site 12, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.68532,3.4168,"site 13, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.64557,3.5001,"site 14, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.69108,3.38286,"site 15, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.74001,3.59074,"site 16, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.57576,3.63719,"site 17, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.68098,3.42541,"site 18, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.69107,3.40433,"site 19, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","point","Malaysia",2009,101.6885,3.40996,"site 20, Selangor","Selangor State","",NA,"GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2012,103.3626,1.99555,"Gunung Lambak Forest","Johor State","para_ras1","","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2012,116.74471,5.86567,"Ranau District","Sabah State","Admin2","GAUL2_37419","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2012,102.08521,5.99965,"Pasir Mas","Kelantan State","Admin2","GAUL2_37362","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,116.9267,7.01309,"Kudat District","Sabah State","Admin2","GAUL2_37412","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,117.10828,6.71156,"Pitas District","Sabah State","Admin2","GAUL2_37418","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,116.80543,6.41708,"Kota Marudu District","Sabah State","Admin2","GAUL2_37410","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2012,102.02882,5.28089,"Kelantan State","Kelantan State","Admin1","GAUL1_1893","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,101.10926,4.77603,"Perak State","Perak State","Admin1","GAUL1_1898","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,101.91314,4.34676,"Pahang State","Pahang State","Admin2","GAUL2_37382","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,101.58121,3.55981,"Selangor State","Selangor State","Admin2","GAUL2_37455","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,102.2076,2.77725,"Negeri Sembilan State","Negeri Sembilan State","Admin1","GAUL1_1896","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2010,111.39774,2.1675,"Sarikei District","Sarawak State","Admin2","GAUL2_37447","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2011,111.39774,2.1675,"Sarikei District","Sarawak State","Admin2","GAUL2_37447","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,117.12725,5.3504,"QUEEN ELIZABETH HOSPITAL (KOTA KINABALU) - STATE catchment","Sabah State","Admin1","GAUL1_1901","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,117.10828,6.71156,"PITAS HOSPITAL DISTRICT","Sabah State","Admin2","GAUL2_37418","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,116.9267,7.01309,"KUDAT HOSPITAL DISTRICT","Sabah State","Admin2","GAUL2_37412","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,116.74471,5.86567,"RANAU CLINIC DISTRICT","Sabah State","Admin2","GAUL2_37419","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,117.16646,7.25453,"KARAKIT CLINIC DISTRICT","Sabah State","para_ras2","","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,116.80543,6.41708,"LOTONG CL INIC DISTRICT","Sabah State","Admin2","GAUL2_37410","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,116.27259,5.26453,"APIN -APIN CLINIC DISTRICT","Sabah State","Admin2","GAUL2_37406","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,113.29909,2.5903,"HOSPITAL UMUM SARAWAK (KUCHING) STATE","Sarawak State","Admin1","GAUL1_1902","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,113.53115,1.85242,"SARAWAK KAPIT HOSPITAL DISTRICT","Sarawak State","Admin2","GAUL2_37435","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,111.86719,2.41114,"SIBU HOSPITAL DISTRICT","Sarawak State","Admin2","GAUL2_37449","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,111.41123,1.30001,"SRI AMAN HOSPITAL DISTRICT","Sarawak State","Admin2","GAUL2_37452","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.02882,5.28089,"RAJA PEREMPUAN ZAINAB II HOSPITAL (KOTA BHARU) STATE","Kelantan State","Admin1","GAUL1_1893","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,101.95847,4.94898,"GUA MUSANG HOSPITAL DISTRICT","Kelantan State","Admin2","GAUL2_37357","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.38612,5.83968,"KELANTAN TENGKU ANIS HOSPITAL DISTRICT","Kelantan State","Admin2","GAUL2_37363","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.16107,5.41842,"KUALA KRAI HOSPITAL DISTRICT","Kelantan State","Admin2","GAUL2_37360","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.02838,5.75272,"TANAH MERAH HOSPITAL DISTRICT","Kelantan State","Admin2","GAUL2_37364","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.33288,5.90513,"SELISING CLINIC DISTRICT","Kelantan State","para_ras1","","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,101.82886,5.57276,"JELI HOSPITAL DISTRICT","Kelantan State","Admin2","GAUL2_37358","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,101.91314,4.34676,"KUALA LIPIS HOSPITAL DISTRICT","Pahang State","Admin2","GAUL2_37382","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.55341,4.2617,"JERANTUT HOSPITAL DISTRICT","Pahang State","Admin2","GAUL2_37380","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,101.50023,3.27258,"TENGKU AMPUAN RAHIMAH HOSPITAL (KLANG) STATE","Selangor State","Admin1","GAUL1_1903","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,101.64928,3.28214,"SELAYANG HOSPITAL DISTRIC","Selangor State","Admin2","GAUL2_37454","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,101.58121,3.55981,"KUALA KUBU BARU HOSPITAL DISTRIC","Selangor State","Admin2","GAUL2_37455","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.72461,2.18784,"SULTANAH FATIMAH SPECIAL IST HOSPITAL (MUAR) DISTRICT","Johor State","Admin2","GAUL2_37342","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,103.38786,2.06695,"HAJJAH KALTHOM HOSPITAL (KLUANG) DISTRICT","Johor State","Admin2","GAUL2_37339","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.9534,4.9276,"TUANKU NUR ZAHIRAH HOSPITAL (KUALA TERENGGANU) STATE","Terengganu State","Admin1","GAUL1_1904","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.52127,5.5957,"BESUT HOSPITAL DISTRICT","Terengganu State","Admin2","GAUL2_37463","GAUL","Shearer2016"
"Plasmodium knowlesi malaria","Plasmodium knowlesi","polygon","Malaysia",2013,102.2076,2.77725,"TUANKU JAAFAR HOSPITAL (SEREMBAN) STATE","Negeri Sembilan State","Admin1","GAUL1_1896","GAUL","Shearer2016"
